Nombre del Planeta,Estrella Huesped,Numero de Estrellas,Numero de Planetas,Metodo de Descubrimiento,Año de Descubrimiento,Periodo Orbital (Dias),Semieje Mayor (UA),Radio del Planeta (Radios Terrestres),MPX Sen(I)(Masas Terrestres),Excentricidad,Temperatura de Equilibrio,Tipo Espectral,Temperatura Estelar efectiva,Radio Estelar (Radios Solares),Masa Estelar (Masas Solares),Metalicidad Estelar Corregido
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,95.272656,0.402100,11949,266.97720,0.133000,420,G3 V,5625.00,0.96,0.96,-0.01
CoRoTID 223977153 b,CoRoTID 223977153,1,1,Transit,2017,6.71837,0.071000,6389,47.67450,,938,G0 VI,5970.00,0.79,1.08,0
DE CVn b,DE CVn,2,1,Eclipse Timing Variations,2018,4098.1,5.750000,12.4,3823.27330,0.000000,,,3579.00,0.42,0.51,0
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,246.36,0.360000,11.9,9057.77000,0.345000,,L1.5,,,0.07,0
DH Tau b,DH Tau,1,1,Imaging,2004,,330.000000,30264,3496.00000,,2200,M0.5,4371.00,0.27,0.33,0
DMPP-1 b,DMPP-1,1,4,Radial Velocity,2019,18.57,0.146200,5.29,24.27000,0.083000,877,F8 V,6196.00,1.26,1.21,0
DMPP-1 c,DMPP-1,1,4,Radial Velocity,2019,6.584,0.073300,3.06,9.60000,0.057000,1239,F8 V,6196.00,1.26,1.21,0
DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,2.882,0.042200,1.65,3.35000,0.070000,1632,F8 V,6196.00,1.26,1.21,0
DMPP-1 e,DMPP-1,1,4,Radial Velocity,2019,5.516,0.065100,1.86,4.13000,0.070000,1314,F8 V,6196.00,1.26,1.21,0
DMPP-2 b,DMPP-2,1,1,Radial Velocity,2019,5.2072,0.066400,14.3,138.89171,0.078000,1000,F5 V,6500.00,1.78,1.44,0
DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,6.6732,0.066200,1.41,2.58000,0.140000,854,K0 V,5138.00,0.91,0.87,0.18
DMPP-4 b,DMPP-4,1,1,Radial Velocity,2023,3.4982,0.048530,3.53,12.20000,0.063000,,F5-F8 V,6400.00,1.38,1.25,-7
DP Leo b,DP Leo,2,1,Eclipse Timing Variations,2009,10220.0,8.190000,12.7,1995.88832,0.390000,,,13500.00,0.01,0.69,0
DS Tuc A b,DS Tuc A,2,1,Transit,2019,8.138268,,5.7,413.17900,0.000000,850,G6 V,5428.00,0.96,1.01,0
EPIC 201170410.02,EPIC 201170410,1,1,Transit,2020,0.0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp Fors 2020</a>,#¡VALOR!,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp Fors 2020</a>,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,,,,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp Fors 2020</a>,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp Fors 2020</a>,#¡VALOR!
EPIC 201238110 b,EPIC 201238110,1,1,Transit,2019,28.1656,,1.87,4.16000,,,,3587.00,0.37,0.41,0
EPIC 201427007 b,EPIC 201427007,1,1,Transit,2021,0.72091,,1.5,2.86000,,,,5633.00,0.94,0.93,-53
EPIC 201497682 b,EPIC 201497682,1,1,Transit,2019,2.13174,,692,0.26000,,,,4991.00,0.55,0.78,-89
EPIC 201595106 b,EPIC 201595106,1,2,Transit,2021,0.87724,0.017700,1565,7.67000,0.000000,2038,,5679.00,0.98,0.96,0.01
EPIC 201615463 c,K2-166,1,2,Transit,2019,3.80464,,1.22,1.98000,,,,5942.50,1.60,1.07,-51
EPIC 201754305 d,K2-16,1,3,Transit,2019,2.71578,,1.03,1.08000,,,K3 V,4761.00,0.54,0.67,-0.33
EPIC 201757695.02,EPIC 201757695,1,1,Transit,2020,0.0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp Fors 2020</a>,#¡VALOR!,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp Fors 2020</a>,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,,,,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp Fors 2020</a>,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp Fors 2020</a>,#¡VALOR!
EPIC 201833600 c,K2-50,1,2,Transit,2019,3.96151,,1,0.97200,,,,4292.67,0.63,0.61,-113
EPIC 201841433 b,EPIC 201841433,1,1,Transit,2019,4.1698,0.035000,1.04,1.12000,,,,5053.00,0.63,0.80,0
EPIC 205950854 c,K2-168,1,2,Transit,2019,8.050722,,1.31,2.27000,,961,,5502.70,0.83,0.88,-0.13
EPIC 206024342 b,EPIC 206024342,1,3,Transit,2019,4.50756,,1.7,3.53000,,,,5724.00,0.82,0.93,-0.22
EPIC 206024342 c,EPIC 206024342,1,3,Transit,2021,0.911724,,1.4,2.54000,,,,5724.00,1.10,0.93,-0.22
EPIC 206024342 d,EPIC 206024342,1,3,Transit,2021,14.647531,,2.6,7.27000,,,,5724.00,1.10,0.93,-0.22
EPIC 206032309 b,EPIC 206032309,1,1,Transit,2019,2.87814,,1.01,1.01000,,,,3489.00,0.37,0.22,0
EPIC 206042996 b,EPIC 206042996,1,2,Transit,2019,5.2986,,1.7,3.53000,,,,4114.00,0.50,0.57,6
EPIC 206042996 c,EPIC 206042996,1,2,Transit,2021,0.354884,,1.2,1.87000,,,,4114.00,0.50,0.57,6
EPIC 206215704 b,EPIC 206215704,1,1,Transit,2019,2.255436,,1,0.97200,,,,3297.00,0.25,0.41,-0.33
EPIC 206317286 b,EPIC 206317286,1,2,Transit,2019,1.58252,,0.96,0.84000,,,,4864.00,0.67,0.71,19
EPIC 206317286 c,EPIC 206317286,1,2,Transit,2022,17.515472,,2094,5.03000,,,,4752.00,0.76,0.83,19
EPIC 211822797 b,EPIC 211822797,1,1,Transit,2016,21.1701963,0.119500,1.92,4.35000,0.060000,431,M0,4057.00,0.58,0.62,0.2
EPIC 211945201 b,EPIC 211945201,1,1,Transit,2018,19.49221,0.149300,5.76,27.00000,0.000000,817,G0,6069.00,1.39,1.17,0.1
EPIC 212297394 b,EPIC 212297394,1,2,Transit,2019,2.289363,,1.48,2.79000,,1149,,5171.00,0.80,0.83,-0.03
EPIC 212297394 c,EPIC 212297394,1,2,Transit,2021,5.213965,,2.27,5.77000,,866,,5171.00,0.80,0.83,-0.03
EPIC 212424622 b,EPIC 212424622,1,1,Transit,2019,18.0983,,2.17,5.35000,,,,5782.33,1.22,1.11,0
EPIC 212499991 b,EPIC 212499991,1,1,Transit,2019,34.885,,1.6,3.19000,,,,4982.79,0.76,0.91,0
EPIC 212587672 b,EPIC 212587672,1,2,Transit,2019,15.28078,,1.26,2.13000,,756,,6004.00,0.98,0.99,-0.18
EPIC 212587672 c,EPIC 212587672,1,2,Transit,2021,23.228555,,2.32,5.99000,,658,,6004.00,0.98,0.99,-0.18
EPIC 212624936 b,EPIC 212624936,1,2,Transit,2021,0.578657,,1.2,1.87000,,,,5765.00,0.93,1.00,-0.39
EPIC 212624936 c,EPIC 212624936,1,2,Transit,2021,11.811437,,2.3,5.90000,,,,5765.00,0.93,1.00,-0.39
EPIC 212737443 b,EPIC 212737443,1,2,Transit,2019,13.603,0.098000,2586,7.20000,0.200000,536,K3,4684.00,0.67,0.69,-137
EPIC 212737443 c,EPIC 212737443,1,2,Transit,2019,65.55,0.280000,2.69,7.70000,0.200000,316,K3,4684.00,0.67,0.69,-137
EPIC 220492298 b,EPIC 220492298,1,1,Transit,2021,0.762406,,0.99,0.93700,,,,5620.00,0.89,0.95,0.28
EPIC 220554210 c,K2-282,1,2,Transit,2019,0.70531,,1.6,3.19000,,,,5499.00,1.00,0.94,-0.23
EPIC 220674823 b,EPIC 220674823,1,2,Transit,2016,0.5713127,0.013140,1676,7.80000,0.000000,2299,G5 V,5578.00,0.99,0.91,-5
EPIC 220674823 c,EPIC 220674823,1,2,Transit,2016,13.33989,0.107300,2.84,7.32000,0.170000,804,G5 V,5578.00,0.99,0.91,-5
EPIC 228836835 b,EPIC 228836835,1,1,Transit,2021,0.728113,,1.1,1.37000,,932,,3782.00,0.32,0.42,-0.18
EPIC 229004835 b,EPIC 229004835,1,1,Transit,2023,16.141132,0.123700,2332,10.40000,0.230000,804,,5868.00,1.00,0.97,-0.12
EPIC 246851721 b,EPIC 246851721,2,1,Transit,2018,6.180235,0.072290,11781,953.49000,,1401,F5 V,6202.00,1.59,1.32,141
EPIC 248847494 b,EPIC 248847494,1,1,Transit,2018,3650.0,4.500000,12442,4131.79000,0.000000,183,,4898.00,2.70,0.90,-0.23
EPIC 249893012 b,EPIC 249893012,1,3,Transit,2020,3.5951,0.047000,1.95,8.75000,0.060000,1616,G8 IV/V,5430.00,1.71,1.05,0.2
EPIC 249893012 c,EPIC 249893012,1,3,Transit,2020,15.624,0.130000,3.67,14.67000,0.070000,990,G8 IV/V,5430.00,1.71,1.05,0.2
EPIC 249893012 d,EPIC 249893012,1,3,Transit,2020,35.747,0.220000,3.94,10.18000,0.150000,752,G8 IV/V,5430.00,1.71,1.05,0.2
FU Tau b,FU Tau,1,1,Imaging,2008,,800.000000,12.2,5085.28000,,2375,M7.25,2838.00,,0.05,0
G 196-3 b,G 196-3,1,1,Imaging,2024,0.0,,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,#¡VALOR!
G 264-012 b,G 264-012,1,2,Radial Velocity,2021,2.30538,0.022790,1.39,2.50000,,587,M4.0 V,3326.00,0.30,0.30,0.1
G 264-012 c,G 264-012,1,2,Radial Velocity,2021,8.0518,0.052500,1.76,3.75000,,387,M4.0 V,3326.00,0.30,0.30,0.1
G 9-40 b,G 9-40,1,1,Transit,2019,5.7459982,0.041800,1.9,4.00000,0.000000,441,M2.5 V,3395.00,0.30,0.30,-0.07
GJ 1002 b,GJ 1002,1,2,Radial Velocity,2022,0.0,0,0,0,0,0,,M5.5 V,0,0,0
GJ 1002 c,GJ 1002,1,2,Radial Velocity,2022,0.0,0,0,0,0,0,,M5.5 V,0,0,0
GJ 1061 b,GJ 1061,1,3,Radial Velocity,2020,3.204,0.021000,1.1,1.37000,0.310000,,M5.5 V,2953.00,0.16,0.12,-0.08
GJ 1061 c,GJ 1061,1,3,Radial Velocity,2020,6.689,0.035000,1.18,1.74000,0.290000,,M5.5 V,2953.00,0.16,0.12,-0.08
GJ 1061 d,GJ 1061,1,3,Radial Velocity,2020,13.031,0.054000,1.16,1.64000,0.530000,,M5.5 V,2953.00,0.16,0.12,-0.08
GJ 1132 b,GJ 1132,1,2,Transit,2015,1.62892911,0.015700,1192,1.83705,0.011800,584,M4.5 V,3229.00,0.22,0.19,-0.17
GJ 1132 c,GJ 1132,1,2,Radial Velocity,2018,8.929,0.047600,1.43,2.64000,0.270000,300,M4.5 V,3270.00,0.21,0.18,-0.17
GJ 1148 b,GJ 1148,1,2,Radial Velocity,2010,41.38,0.166000,11.9,96.70000,0.380000,,M5,3287.00,0.36,0.34,0.16
GJ 1148 c,GJ 1148,1,2,Radial Velocity,2017,532.58,0.912000,9.71,68.06000,0.342000,,M5,3287.00,0.36,0.34,0.16
GJ 1151 c,GJ 1151,1,1,Radial Velocity,2023,389.7,0.571400,3.25,10.62000,,,M 4.5V,3280.00,0.18,0.16,-0.12
GJ 1214 b,GJ 1214,1,1,Transit,2009,1.58040453,0.015050,2733,8.41000,0.006200,567,M4 V,3101.00,0.22,0.18,0.24
GJ 1252 b,GJ 1252,1,1,Transit,2020,0.5182331,0.009150,1193,1.32000,0.000000,1089,M3,3458.00,0.39,0.38,0.1
GJ 1265 b,GJ 1265,1,1,Radial Velocity,2018,3.6511,0.026000,2.63,7.40000,0.040000,,M4.5 V,3236.00,0.19,0.18,-0.04
GJ 143 b,GJ 143,1,2,Transit,2019,35.61253,0.191500,2.61,22.70000,0.188000,422,K4.5,4640.00,0.70,0.73,3
GJ 15 A b,GJ 15 A,2,2,Radial Velocity,2014,11.4407,0.072000,1.55,3.03000,0.094000,550,M1,3607.00,0.38,0.38,-0.34
GJ 15 A c,GJ 15 A,2,2,Radial Velocity,2018,7600.0,5.400000,6.67,36.00000,0.270000,,M1,3607.00,0.38,0.38,-0.34
GJ 160.2 b,GJ 160.2,1,1,Radial Velocity,2014,5.2354,0.053000,3.17,10.20000,0.060000,,M0 V,4347.00,0.66,0.69,0
GJ 163 b,GJ 163,1,3,Radial Velocity,2013,8.63182,0.060700,3.25,10.60000,0.073000,,M,3500.00,0.41,0.40,0.1
GJ 163 c,GJ 163,1,3,Radial Velocity,2013,25.63058,0.125400,2.5,6.80000,0.099000,,M,3500.00,0.41,0.40,0.1
GJ 163 d,GJ 163,1,3,Radial Velocity,2013,603.95116,1.030400,5.92,29.40000,0.373000,,M,3500.00,0.41,0.40,0.1
GJ 179 b,GJ 179,1,1,Radial Velocity,2009,2288.0,2.410000,13.8,301.93699,0.210000,,M3.5 V,3370.00,0.38,0.36,0.3
GJ 180 b,GJ 180,1,3,Radial Velocity,2014,17.133,0.092000,2.43,6.49000,0.070000,,M2 V,3371.00,0.41,0.43,0
GJ 180 c,GJ 180,1,3,Radial Velocity,2014,24.329,0.129000,2.41,6.40000,0.090000,,M2 V,3371.00,0.41,0.43,0
GJ 180 d,GJ 180,1,3,Radial Velocity,2020,106.3,0.309000,2.66,7.56000,0.140000,,M3,3811.50,0.41,0.43,0
GJ 2030 b,GJ 2030,1,2,Radial Velocity,2022,2.38129,0.034000,2.03,4.76743,0.239000,,,5485.00,2.24,0.96,-0.4
GJ 2030 c,GJ 2030,1,2,Radial Velocity,2022,25533.11353,16.761000,12.3,4069.15709,0.041000,,,5485.00,2.24,0.96,-0.4
GJ 2056 b,GJ 2056,1,1,Radial Velocity,2020,69.971,0.283000,4.17,16.20000,0.720000,,M0V:,4069.95,0.71,0.62,0
GJ 2126 b,GJ 2126,1,1,Radial Velocity,2025,272.7,0.710000,13.6,413.17693,0.850000,,M0 V,4159.00,0.73,0.65,0.6
GJ 229 A c,GJ 229,3,2,Radial Velocity,2020,121.93268,0.384000,2.87,8.58137,0.366000,,,3912.54,0.46,0.51,0
GJ 229 b,GJ 229,3,2,Radial Velocity,2014,579.47495,1.086000,3.97,14.93794,0.404000,,M1/M2 V,3912.54,0.46,0.51,0
GJ 238 b,GJ 238,1,1,Transit,2024,1.7446999,0.021230,566,0.12600,,758,M2.5 V,3485.00,0.43,0.42,0.15
GJ 251 b,GJ 251,1,1,Radial Velocity,2020,14.238,0.081800,1.83,4.00000,0.100000,351,M3.0 V,3451.00,0.36,0.36,-0.03
GJ 27.1 b,GJ 27.1,1,1,Radial Velocity,2014,15.819,0.101000,3.66,13.00000,0.080000,,M0.5 V,3542.00,0.52,0.53,0
GJ 273 b,GJ 273,1,2,Radial Velocity,2017,18.6498,0.091101,1.51,2.89000,0.100000,,M3.5,3382.00,0.29,0.29,0.09
GJ 273 c,GJ 273,1,2,Radial Velocity,2017,4.7234,0.036467,1.06,1.18000,0.170000,,M3.5,3382.00,0.29,0.29,0.09
GJ 3021 b,GJ 3021,2,1,Radial Velocity,2000,133.71,0.490000,13.1,1071.04000,0.511000,350,G6 V,5540.00,0.90,0.90,0.1
GJ 3082 b,GJ 3082,1,1,Radial Velocity,2020,11.949,0.079000,2.79,8.20000,0.220000,,M4,3910.00,0.47,0.47,0
GJ 3090 b,GJ 3090,1,1,Transit,2022,2.8531054,0.031650,2.13,3.34000,0.320000,693,M2 V,3556.00,0.52,0.52,-0.06
GJ 3138 b,GJ 3138,1,3,Radial Velocity,2017,1.22003,0.019700,1.18,1.78000,0.190000,,M0,3717.00,0.50,0.68,-0.3
GJ 3138 c,GJ 3138,1,3,Radial Velocity,2017,5.974,0.057000,1.88,4.18000,0.110000,,M0,3717.00,0.50,0.68,-0.3
GJ 3138 d,GJ 3138,1,3,Radial Velocity,2017,257.8,0.698000,3.23,10.50000,0.320000,,M0,3717.00,0.50,0.68,-0.3
GJ 317 b,GJ 317,1,2,Radial Velocity,2007,695.66,1.151000,13.3,794.50000,0.070000,,M2.5 V,3492.73,0.43,0.42,301
GJ 317 c,GJ 317,1,2,Radial Velocity,2018,6739.323,5.230000,13.5,522.50000,0.170000,,M2.5 V,3492.73,0.43,0.42,301
GJ 3222 b,GJ 3222,2,1,Radial Velocity,2022,10.66669,0.091000,3.4,11.44182,0.929000,,K0V,5257.46,0.93,0.89,0.16
GJ 328 b,GJ 328,1,2,Radial Velocity,2013,3771.0,4.110000,13.3,797.74930,0.227000,,M0.0,3897.00,0.63,0.65,-0.06
GJ 328 c,GJ 328,1,2,Radial Velocity,2023,241.8,0.657000,4.91,21.40000,,,M0.0,3897.00,0.63,0.65,-0.06
GJ 3293 b,GJ 3293,1,4,Radial Velocity,2015,30.5987,0.143390,5.19,23.54000,0.060000,,M2.5,3466.00,0.40,0.42,0.02
GJ 3293 c,GJ 3293,1,4,Radial Velocity,2015,122.6196,0.361750,4.87,21.09000,0.110000,,M2.5,3466.00,0.40,0.42,0.02
GJ 3293 d,GJ 3293,1,4,Radial Velocity,2017,48.1345,0.193940,2.67,7.60000,0.120000,,M2.5,3466.00,0.40,0.42,0.02
GJ 3293 e,GJ 3293,1,4,Radial Velocity,2017,13.2543,0.082080,1.63,3.28000,0.210000,,M2.5,3466.00,0.40,0.42,0.02
GJ 3323 b,GJ 3323,1,2,Radial Velocity,2017,5.3636,0.032820,1.23,2.02000,0.230000,,M4,3159.00,0.12,0.16,-0.27
GJ 3323 c,GJ 3323,1,2,Radial Velocity,2017,40.54,0.126400,1.32,2.31000,0.170000,,M4,3159.00,0.12,0.16,-0.27
GJ 3341 b,GJ 3341,1,1,Radial Velocity,2015,14.207,0.089000,2.46,6.60000,0.310000,,M2.5,3526.00,0.44,0.47,-0.09
GJ 338 B b,GJ 338 B,2,1,Radial Velocity,2020,0.0,0,0,0,0,,,M0 V,0,0,0
GJ 341 b,GJ 341,1,1,Transit,2025,7.57686,,0.88,4.00000,0.000000,629,M1,3770.00,0.51,0.48,-0.16
GJ 3470 b,GJ 3470,1,1,Radial Velocity,2012,3.3366496,0.035500,4.57,13.90000,0.017000,594,M1.5,3652.00,0.50,0.50,0.2
GJ 3473 b,GJ 3473,2,2,Transit,2020,1.1980035,0.015890,1264,1.86000,0.000000,773,M4,3347.00,0.36,0.36,0.11
GJ 3473 c,GJ 3473,2,2,Radial Velocity,2020,15.509,0.087600,2.63,7.41000,0.000000,329,M4,3347.00,0.36,0.36,0.11
GJ 3512 b,GJ 3512,1,2,Radial Velocity,2019,203.69,0.337000,14.3,146.20107,0.440000,,M5.5 V,3081.00,0.14,0.12,-0.07
GJ 3512 c,GJ 3512,1,2,Radial Velocity,2020,1599.6,1.292000,9.32,63.56568,0.018300,,M5.5 V,3081.00,0.14,0.12,-0.07
GJ 357 b,GJ 357,1,3,Transit,2019,3.9306,0.036000,1.2,1.84000,,518,M2.5 V,3505.00,0.34,0.34,-0.12
GJ 357 c,GJ 357,1,3,Radial Velocity,2019,9.1247,0.061000,1.66,3.40000,,401,M2.5 V,3505.00,0.34,0.34,-0.12
GJ 357 d,GJ 357,1,3,Radial Velocity,2019,55.661,0.204000,2.34,6.10000,,220,M2.5 V,3505.00,0.34,0.34,-0.12
GJ 3634 b,GJ 3634,1,1,Radial Velocity,2010,2.64561,0.028700,2.83,8.40000,0.080000,,M2.5,3517.00,0.43,0.45,0
GJ 367 b,GJ 367,1,3,Transit,2021,0.3219225,0.007090,699,0.63300,0.060000,1365,M1.0 V,3522.00,0.46,0.46,-0.01
GJ 367 c,GJ 367,1,3,Radial Velocity,2023,11.5301,,1.86,4.13000,0.090000,,M1.0 V,3522.00,0.46,0.46,-0.01
GJ 367 d,GJ 367,1,3,Radial Velocity,2023,34.369,,2.33,6.03000,0.140000,,M1.0 V,3522.00,0.46,0.46,-0.01
GJ 3779 b,GJ 3779,1,1,Radial Velocity,2018,3.0232,0.026000,2.75,8.00000,0.070000,,M4.0 V,3324.00,0.28,0.27,0
GJ 3929 b,GJ 3929,1,2,Transit,2022,2.616235,0.025200,1.09,1.75000,0.000000,568,M3.5 V,3384.00,0.32,0.31,-0.02
GJ 3929 c,GJ 3929,1,2,Radial Velocity,2022,15.04,0.081000,2.26,5.71000,0.000000,317,M3.5 V,3384.00,0.32,0.31,-0.02
GJ 393 b,GJ 393,1,1,Radial Velocity,2021,7.02679,0.054020,1.17,1.71000,,485,M2.0 V,3579.00,0.43,0.43,-0.09
GJ 3942 b,GJ 3942,1,1,Radial Velocity,2017,6.905,0.060800,2.57,7.14000,0.121000,590,M0,3867.00,0.61,0.63,-0.04
GJ 3988 b,GJ 3988,1,1,Radial Velocity,2023,6.9442,0.040500,1.74,3.69000,0.000000,348,M4.5 V,3273.00,0.20,0.18,-0.12
GJ 3998 b,GJ 3998,1,2,Radial Velocity,2016,2.64977,0.029000,1.38,2.47000,0.000000,,M1,3722.00,0.49,0.50,-0.16
GJ 3998 c,GJ 3998,1,2,Radial Velocity,2016,13.74,0.089000,2.38,6.26000,0.049000,,M1,3722.00,0.49,0.50,-0.16
GJ 411 b,GJ 411,1,2,Radial Velocity,2019,0.0,<a refstr=HURT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..218H/abstract target=ref>Hurt et al. 2022</a>,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=STOCK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A.112S/abstract target=ref>Stock et al. 2020</a>,,<a refstr=STOCK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A.112S/abstract target=ref>Stock et al. 2020</a>,<a refstr=HURT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..218H/abstract target=ref>Hurt et al. 2022</a>,<a refstr=HURT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..218H/abstract target=ref>Hurt et al. 2022</a>,#¡VALOR!
GJ 414 A b,GJ 414 A,2,2,Radial Velocity,2021,50.8,0.232400,2.63,7.60000,0.450000,309,K7 V,4120.00,0.68,0.65,0.24
GJ 414 A c,GJ 414 A,2,2,Radial Velocity,2021,749.83,1.400000,8.4,53.83000,0.105000,125,K7 V,4120.00,0.68,0.65,0.24
GJ 422 b,GJ 422,1,1,Radial Velocity,2014,20.129,0.111000,3.33,11.07000,0.110000,,M3.5 V,3323.00,0.37,0.35,0
GJ 4276 b,GJ 4276,1,1,Radial Velocity,2019,13.352,0.082000,4.22,16.57000,0.370000,,M4.0,3387.00,0.41,0.41,0.12
GJ 433 b,GJ 433,1,3,Radial Velocity,2011,7.3705,0.062000,2.33,6.04300,0.040000,,M1.5 V,3461.00,0.50,0.48,-0.17
GJ 433 c,GJ 433,1,3,Radial Velocity,2014,5094.105,4.819000,6.27,32.42200,0.120000,,M1.5 V,3472.00,0.47,0.48,-0.17
GJ 433 d,GJ 433,1,3,Radial Velocity,2020,36.059,0.178000,2.14,5.22300,0.070000,,M2V,3461.00,0.47,0.48,-0.17
GJ 436 b,GJ 436,1,1,Radial Velocity,2004,2.64388312,0.029100,4.17,22.10000,0.138270,686,M2.5 V,3586.11,0.46,0.47,99
GJ 463 b,GJ 463,1,1,Radial Velocity,2022,3448.0,3.530000,13,1144.18227,0.090000,,M3 V,3540.00,0.49,0.49,0
GJ 480 b,GJ 480,1,1,Radial Velocity,2020,9.567,0.068000,3.69,13.20000,0.100000,,M3.5 Ve,3381.00,0.46,0.45,0
GJ 486 b,GJ 486,1,1,Radial Velocity,2021,1.46712127,0.017140,1289,2.77000,0.000860,696,M3.5 V,3317.00,0.32,0.31,-0.15
GJ 504 b,GJ 504,1,1,Imaging,2013,,43.500000,13,1271.30000,,510,G0 V,6234.00,1.26,1.22,0.28
GJ 514 b,GJ 514,1,1,Radial Velocity,2022,140.43,0.422000,2.13,5.20000,0.450000,202,M0.5-1.0 V,3728.00,0.50,0.51,-0.14
GJ 536 b,GJ 536,1,1,Radial Velocity,2016,0.0,0,0,0,0,,,M1 V,0,0,0
GJ 581 b,GJ 581,1,3,Radial Velocity,2005,5.3686,0.039900,4.79,20.50000,0.034200,,M3.0 V,3500.00,0.30,0.30,-0.08
GJ 581 c,GJ 581,1,3,Radial Velocity,2007,12.9211,0.071800,2.5,6.81000,0.032000,,M3.0 V,3500.00,0.30,0.30,-0.08
GJ 581 e,GJ 581,1,3,Radial Velocity,2009,3.1481,0.027990,1.38,2.48000,0.012000,,M3.0 V,3500.00,0.30,0.30,-0.08
GJ 625 b,GJ 625,1,1,Radial Velocity,2017,0.0,0,0,0,0,,,M2,0,0,0
GJ 649 b,GJ 649,1,1,Radial Velocity,2009,600.1,1.112000,10.8,81.99973,0.083000,,M1.0,3734.00,0.50,0.51,-0.15
GJ 667 C b,GJ 667 C,3,5,Radial Velocity,2012,7.203,0.050431,2.25,5.68000,0.200000,,M1.5 V,3350.00,,0.33,-0.55
GJ 667 C c,GJ 667 C,3,5,Radial Velocity,2013,28.14,0.125000,1.77,3.80000,0.020000,,M1.5 V,3350.00,,0.33,-0.55
GJ 667 C e,GJ 667 C,3,5,Radial Velocity,2013,62.24,0.213000,1.45,2.70000,0.020000,,M1.5 V,3350.00,,0.33,-0.55
GJ 667 C f,GJ 667 C,3,5,Radial Velocity,2013,39.026,0.156000,1.45,2.70000,0.030000,,M1.5 V,3350.00,,0.33,-0.55
GJ 667 C g,GJ 667 C,3,5,Radial Velocity,2013,256.2,0.549000,1.99,4.60000,0.080000,,M1.5 V,3350.00,,0.33,-0.55
GJ 674 b,GJ 674,1,1,Radial Velocity,2007,4.6938,0.039000,3.33,11.09000,0.200000,,M2.5,3600.00,0.36,0.35,-0.28
GJ 676 A b,GJ 676 A,2,4,Radial Velocity,2010,1051.44521,1.735000,12.8,1840.86213,0.319000,,M0 V,3734.00,0.69,0.63,0.23
GJ 676 A c,GJ 676 A,2,4,Radial Velocity,2016,13921.42302,9.726000,12.3,4288.14087,0.295000,,M0,4006.03,0.65,0.63,0.23
GJ 676 A d,GJ 676 A,2,4,Radial Velocity,2012,3.60076,0.039000,1.78,3.81394,0.192000,,M0 V,4006.03,0.65,0.63,0.23
GJ 676 A e,GJ 676 A,2,4,Radial Velocity,2012,35.47358,0.181000,2.47,6.67440,0.152000,,M0 V,4006.03,0.65,0.63,0.23
